iter	Passed	Remaining
521	13013	11916
522	13036	11889
523	13064	11868
524	13090	11843
525	13115	11819
526	13139	11793
527	13165	11769
528	13189	11742
529	13214	11718
530	13238	11692
531	13262	11666
532	13287	11642
533	13309	11615
534	13332	11587
535	13357	11562
536	13380	11536
537	13404	11511
538	13425	11483
539	13449	11456
540	13473	11431
541	13498	11406
542	13521	11379
543	13545	11354
544	13570	11329
545	13596	11305
546	13623	11282
547	13649	11258
548	13675	11234
549	13700	11209
550	13726	11185
551	13750	11160
552	13775	11135
553	13802	11111
554	13828	11088
555	13857	11065
556	13879	11038
557	13901	11011
558	13929	10989
559	13953	10963
560	13978	10938
561	14001	10912
562	14028	10888
563	14052	10862
564	14075	10836
565	14097	10809
566	14122	10784
567	14145	10758
568	14168	10732
569	14197	10710
570	14224	10687
571	14250	10663
572	14273	10636
573	14295	10609
574	14321	10585
575	14347	10561
576	14371	10535
577	14394	10509
578	14417	10483
579	14443	10459
580	14467	10433
581	14489	10406
582	14515	10382
583	14539	10356
584	14566	10333
585	14589	10307
586	14615	10282
587	14641	10259
588	14664	10232
589	14686	10206
590	14712	10181
591	14741	10159
592	14769	10136
593	14799	10115
594	14826	10091
595	14853	10068
596	14879	10044
597	14908	10022
598	14933	9997
599	14962	9975
600	14992	9953
601	15018	9929
602	15045	9905
603	15070	9880
604	15095	9856
605	15120	9831
606	15147	9807
607	15173	9782
608	15197	9757
609	15222	9732
610	15248	9707
611	15273	9683
612	15300	9659
613	15324	9633
614	15346	9607
615	15371	9582
616	15394	9556
617	15424	9534
618	15458	9514
619	15494	9496
620	15522	9473
621	15560	9456
622	15591	9434
623	15617	9410
624	15642	9385
625	15679	9367
626	15714	9348
627	15748	9328
628	15781	9308
629	15818	9290
630	15855	9271
631	15890	9252
632	15921	9230
633	15954	9210
634	15987	9189
635	16020	9168
636	16054	9148
637	16082	9125
638	16108	9100
639	16136	9076
640	16164	9053
641	16196	9031
642	16225	9008
643	16259	8988
644	16287	8964
645	16316	8941
646	16344	8917
647	16380	8898
648	16410	8875
649	16442	8853
650	16469	8829
651	16495	8804
652	16525	8781
653	16550	8756
654	16575	8730
655	16604	8707
656	16635	8685
657	16664	8661
658	16694	8638
659	16725	8615
660	16758	8594
661	16791	8573
662	16827	8553
663	16859	8531
664	16886	8506
665	16914	8482
666	16946	8460
667	16982	8440
668	17012	8417
669	17038	8392
670	17073	8371
671	17102	8347
672	17131	8324
673	17159	8299
674	17187	8275
675	17211	8249
676	17237	8224
677	17266	8200
678	17300	8178
679	17331	8156
680	17360	8132
681	17388	8107
682	17415	8083
683	17443	8058
684	17474	8035
685	17501	8010
686	17529	7986
687	17565	7965
688	17593	7941
689	17620	7916
690	17645	7890
691	17670	7865
692	17694	7838
693	17718	7812
694	17744	7787
695	17771	7762
696	17794	7735
697	17820	7710
698	17845	7684
699	17870	7658
700	17894	7632
701	17919	7606
702	17943	7580
703	17966	7554
704	17990	7528
705	18014	7501
706	18040	7476
707	18069	7452
708	18095	7427
709	18122	7402
710	18148	7376
711	18173	7351
712	18197	7324
713	18225	7300
714	18257	7277
715	18285	7252
716	18315	7229
717	18344	7205
718	18376	7181
719	18402	7156
720	18430	7131
721	18458	7107
722	18488	7083
723	18519	7059
724	18554	7038
725	18582	7013
726	18620	6992
727	18658	6971
728	18687	6946
729	18716	6922
730	18743	6897
731	18773	6873
732	18801	6848
733	18828	6823
734	18851	6796
735	18879	6772
736	18909	6747
737	18938	6723
738	18968	6699
739	19002	6676
740	19030	6651
741	19059	6627
742	19094	6604
743	19123	6580
744	19149	6554
745	19177	6529
746	19201	6503
747	19228	6478
748	19262	6455
749	19290	6430
750	19318	6405
751	19346	6380
752	19374	6355
753	19402	6330
754	19432	6305
755	19461	6281
756	19488	6255
757	19518	6231
758	19545	6206
759	19572	6180
760	19603	6156
761	19638	6133
762	19668	6109
763	19693	6083
764	19720	6058
765	19748	6032
766	19774	6007
767	19805	5983
768	19830	5956
769	19856	5931
770	19886	5906
771	19916	5882
772	19944	5856
773	19971	5831
774	19998	5806
775	20024	5780
776	20051	5754
777	20080	5729
778	20108	5704
779	20134	5679
780	20163	5654
781	20192	5629
782	20224	5605
783	20253	5580
784	20283	5555
785	20310	5529
786	20338	5504
787	20364	5478
788	20391	5453
789	20422	5428
790	20452	5404
791	20481	5378
792	20508	5353
793	20533	5327
794	20573	5305
795	20606	5280
796	20633	5255
797	20664	5230
798	20692	5205
799	20721	5180
800	20746	5154
801	20772	5128
802	20798	5102
803	20824	5076
804	20853	5051
805	20881	5026
806	20911	5001
807	20942	4976
808	20973	4951
809	21000	4925
810	21030	4901
811	21058	4875
812	21082	4849
813	21110	4823
814	21134	4797
815	21160	4771
816	21185	4745
817	21214	4720
818	21238	4693
819	21266	4668
820	21294	4642
821	21319	4616
822	21343	4590
823	21368	4564
824	21400	4539
825	21424	4513
826	21452	4487
827	21479	4461
828	21505	4436
829	21534	4410
830	21565	4385
831	21590	4359
832	21615	4333
833	21639	4307
834	21665	4281
835	21688	4254
836	21713	4228
837	21739	4202
838	21770	4177
839	21795	4151
840	21819	4125
841	21844	4099
842	21870	4073
843	21898	4047
844	21925	4021
845	21950	3995
846	21975	3969
847	22001	3943
848	22028	3917
849	22056	3892
850	22080	3865
851	22105	3839
852	22130	3813
853	22153	3787
854	22176	3760
855	22206	3735
856	22230	3709
857	22254	3683
858	22280	3657
859	22303	3630
860	22330	3605
861	22356	3579
862	22380	3552
863	22406	3526
864	22432	3500
865	22459	3475
866	22489	3449
867	22515	3423
868	22545	3398
869	22571	3372
870	22597	3346
871	22620	3320
872	22651	3295
873	22679	3269
874	22713	3244
875	22738	3218
876	22770	3193
877	22796	3167
878	22822	3141
879	22849	3115
880	22874	3089
881	22899	3063
882	22924	3037
883	22951	3011
884	22976	2985
885	23002	2959
886	23030	2934
887	23060	2908
888	23085	2882
889	23110	2856
890	23136	2830
891	23163	2804
892	23189	2778
893	23215	2752
894	23240	2726
895	23265	2700
896	23292	2674
897	23322	2649
898	23352	2623
899	23382	2598
900	23408	2572
901	23442	2546
902	23475	2521
903	23503	2495
904	23531	2470
905	23565	2444
906	23597	2419
907	23626	2393
908	23657	2368
909	23683	2342
910	23709	2316
911	23738	2290
912	23765	2264
913	23789	2238
914	23822	2212
915	23850	2187
916	23878	2161
917	23907	2135
918	23933	2109
919	23963	2083
920	23988	2057
921	24017	2031
922	24041	2005
923	24068	1979
924	24092	1953
925	24121	1927
926	24155	1902
927	24183	1876
928	24213	1850
929	24246	1825
930	24275	1799
931	24299	1772
932	24336	1747
933	24361	1721
934	24389	1695
935	24418	1669
936	24448	1643
937	24474	1617
938	24502	1591
939	24530	1565
940	24555	1539
941	24581	1513
942	24607	1487
943	24634	1461
944	24662	1435
945	24687	1409
946	24715	1383
947	24741	1357
948	24766	1330
949	24791	1304
950	24818	1278
951	24846	1252
952	24872	1226
953	24902	1200
954	24930	1174
955	24956	1148
956	24983	1122
957	25010	1096
958	25040	1070
959	25069	1044
960	25099	1018
961	25129	992
962	25156	966
963	25188	940
964	25216	914
965	25241	888
966	25267	862
967	25298	836
968	25328	810
969	25356	784
970	25384	758
971	25409	731
972	25437	705
973	25460	679
974	25486	653
975	25510	627
976	25536	601
977	25565	575
978	25588	548
979	25614	522
980	25639	496
981	25665	470
982	25694	444
983	25724	418
984	25751	392
985	25778	366
986	25806	339
987	25835	313
988	25861	287
989	25892	261
990	25919	235
991	25950	209
992	25975	183
993	26004	156
994	26031	130
995	26057	104
996	26086	78
997	26113	52
998	26141	26
999	26171	0
